poi_id,name,lon,lat,connect_to,connect_type,d_branch
B0IKKSPHXM,兔喜快递超市(同安新里小区店),117.180215,39.104618,1-5,edge,720.9634745602172
B0KU17SITL,兔邮会员店(鞍山道店),117.190885,39.125074,1-5,edge,361.95406997039527
B0FFKV3R22,丰巢快递柜(新汇华庭店),117.187113,39.135719,1-6,edge,209.85846583708
B0HD0O0YEE,菜鸟驿站(明源里店),117.22017,39.11788,1-4,edge,855.3254746634253
B00160DFQN,以星综合航运(中国)有限公司天津分公司,117.197555,39.117805,1-2,edge,538.1829598706673
B0KUDR8G10,蜜罐快递柜,117.214705,39.120277,1-4,edge,598.9289644371547
B0FFHMEA9S,烟草配送,117.18433,39.11975,1-5,edge,390.68595273322245
B0L6YMALQP,圆通速递(同方花园店),117.189851,39.128584,1-6,edge,341.1613927911853
B0LBOZ5MDY,妈妈驿站(宁夏路店),117.185978,39.125529,1-5,edge,727.7643499701588
B0LUNOA3KU,丰巢智能快递柜(和平路店),117.191925,39.132175,1-6,edge,235.9139568879821
B0MGADDUDI,顺丰速运(医科大学营业店),117.184497,39.105279,1-5,edge,944.6968575319054
B0HKYX61TZ,菜鸟驿站(京海公寓小区店),117.192455,39.109508,1-5,edge,1017.5549066804034
B0M61MFPR6,兴亚物流,117.204662,39.117176,1-2,edge,56.708636124124105
B0KUD1B0LJ,兔喜快递超市(和平印店),117.185575,39.119875,1-5,edge,305.07081836386175
B0KUDRD3RZ,丰巢快递柜,117.195857,39.121892,1-5,edge,206.1928675793426
B0LAKXLHS9,天津顺兴物流有限公司,117.1917,39.107034,1-5,edge,1198.8573664431465
B0L61ASSFA,兔喜生活(南浮房大街店),117.184254,39.111471,1-5,edge,417.1780484745848
B0J3UH1Z8Q,金茂广场快递超市店,117.181669,39.130543,1-6,edge,632.963044622096
B0L6YYB8KC,菜鸟速递(滨江道站),117.184284,39.104553,1-5,edge,975.6259853625278
B0LUNO9OPN,丰巢柜,117.198257,39.111884,1-2,edge,792.1142617661865
B0K6GDY7VD,丰巢快递柜(同安南里店),117.180125,39.104725,1-5,edge,706.7789063931087
B0LRA40121,天津市港兴国际货运代理有限公司,117.214925,39.117975,1-2,edge,835.1694081681294
B0LR01NIVL,丰巢,117.184325,39.130875,1-6,edge,455.74047638563786
